id,full_text,final_sentiment
0,@ARSIPAJA Menjijikan 3x Indonesia sampai punya presiden begini. #IndonesiaGelap #IndonesiaSuram #IndonesiaDarurat #PeringatanDarurat,negatif
1,@ARSIPAJA Macan ompong prajurit cepirit kacung lancung. #AdiliJokowi #IndonesiaGelap #IndonesiaSuram #PeringatanDarurat,negatif
2,Rakyat seolah hanya dibuat permainan dan lelucon oleh pemerintah. #IndonesiaGelap #KaburAjaDulu #AdiliJokowi,negatif
3,Duo Petaka Membawa Bencana #IndonesiaGelap,negatif
4,@krisiparuhbaya Poeeek mangg poeek literally #IndonesiaGelap,negatif
5,Gw twiteran mau liat muts2 gw yang cakep2 ituh yh.. tapi nih Prabubu seekor ada aj gebrakannya. Pusing gw anjenkkkk.. prabubu lh bisa ga sih stopp goblokkkkk #IndonesiaGelap,negatif
6,Dia jd menhan di kabinet lawannya aja sdh aneh. Trus masih pula kalian pilih dia jd presiden. Lebih aneh lg. #Indonesiagelap https://t.co/r3oZX973RG,negatif
7,Oleh karena itu mari kita bersatu dalam Aksi #IndonesiaGelap yang akan dilaksanakan pada: : Senin 17 Februari 2025 ⏰: 08.00 WIB MENANG : Lapangan FISIP UI : Patung Kuda : Jaket kuning Daftarkan dirimu melalui tautan: https://t.co/sBsqHyseDQ,netral
8,Dengan demikian Indonesia Emas 2045 nampaknya hanya angan. Sebab kabinet kegelapan hanya akan menghasilkan #IndonesiaGelap.,negatif
9,[SERUAN AKSI MASSA: #INDONESIAGELAP] Halo FH UI UI dan Indonesia! Seratus hari lebih Kabinet Merah Putih efektif bekerja ternyata sudah menimbulkan terlalu banyak derita. https://t.co/rlHedBzP2q,negatif
10,Prabowo Subianto benar-benar berpihak pada kemajuan pendidikan bukan sekadar melanjutkan drama yang telah berlangsung selama ini. #IndonesiaGelap,positif
11,https://t.co/8eUVTOUqw0 #DaruratPendidikan #IndonesiaGelap cc. BEM Seluruh Indonesia wilayah Jawa Timur BEM Seluruh Indonesia BEM Universitas Airlangga dll.,netral
12,- ⁠Kembalikan Program Kampus Merdeka - ⁠Tolak Revisi UU Minerba #IndonesiaGelap,negatif
13,keputusan yang berisiko karena pada akhirnya bisa menghambat pencapaian tujuan besar negara dalam menciptakan masyarakat yang cerdas terampil dan siap bersaing di tingkat global. #IndonesiaGelap,negatif
14,SERUAN AKSI MASSA: INDONESIA GELAP Halo UI dan Indonesia! Inilah saatnya kita bersuara bersama kita lawan ketidakadilan. Turun ke jalan suarakan hak kita dan kawal kebijakan agar berpihak pada rakyat! BEM se-UI 2024 dan 2025 #IndonesiaGelap #DaruratPendidikan https://t.co/mc3pVL7Ujo,negatif
15,Mau nanya saudara2 sekarang kok banyak anak2 muda nyari KTP ke rumah-rumah warga difoto langsung dikasi duit 20rb ??? #IndonesiaEmas2045 #IndonesiaGelap https://t.co/EMcQn73Lgp,netral
16,Bangsat waktu orang orang lagi susah susah nya PHK dia malah joget waktu anak anak bangsa lagi kecewa anak buah nya malah bilang kalau gak nasionalis bos ini tanah air kita kan #KaburAjaDulu #IndonesiaGelap,negatif
17,@MALAYSIA_JAYA Waah 2014. #IndonesiaGelap,netral
18,Orang-orang itu tidak jahat. Hanya tidak peduli saja. #IndonesiaGelap #kritiksosial,negatif
19,Cie...cie...yang dapat potongan TDL 50% pada girang...tapi ga sadar bayar PDAM naik 150% #IndonesiaGelap,negatif
20,SUDAH MAU KIAMAT MASIH AJA GAK HAFAL PANCASILA Bener2 Dah GELAP INDONESIA Mangkanya Jangan Ada Sedikitpun Di Diri Kita Niat MENGKHIANATI PANCASILA Bisa Jadi PANCASILA nya Sendiri Memang TIDAK RIDHO Dibacakan Oleh Orang2 Yang Didalam Dirinya Ada PENGKHIANATAN #IndonesiaGelap https://t.co/nXacL1Cg8F,negatif
21,Simpel kok kenapa harus banyak banget drama sih #Indonesiadarurat #IndonesiaGelap https://t.co/v41m67fNSD,negatif
22,Bonus demografi itu lebih tepat disebut bencana demografi. Jumlah penduduk yg meledak tp ketersediaan lapangan kerja berkualitas terbatas. Ujungnya orang-orang cuman akan saling makan dan saling tikam dalam sebuah mekanisme pasar yang buas dan tanpa ampun. #IndonesiaGelap https://t.co/WfARj5Zj98,negatif
23,Juz 13 Surah 13 Ayat 11 #KaburAjaDulu #IndonesiaGelap,netral
24,Rasa ingin menghidupkan kembali para pahlawan yg telah gugur tak mampu tiap hari liat kelakuan pejabat cuma mementingkan diri sendiri elit parpol dan oligarki #IndonesiaGelap #KaburAjaDulu #indonesiacemas2025,negatif
25,@CNNIndonesia apa yg diharapin dari para elite politik kita yg mentalnya feodal begini? #indonesiagelap,negatif
26,@BosPurwa Nice tp tetep aja #IndonesiaGelap Masa 5thn full smua mslh hrs viral dulu biar pmrnth mikir??? Bgst,negatif
27,Mana Nasionalismenya?! #IndonesiaGelap #KaburAjaDulu #haisayagambar https://t.co/0v6De5Jgf4,negatif
28,Nasib Warga Kala Tambang Nikel Kuasai Pulau Kabaena https://t.co/D0AuhwoL8Q via @Mongabay #IndonesiaGelap,negatif
29,rumusnya jangan kepancing konflik horizontal fokus ke vertikal. kalo ke horizontal lagi dan lagi yg vertikal kesenengan karena misi mereka berhasil dan tetep aman. #IndonesiaGelap #KaburAjaDulu,negatif
30,@Heraloebss Para Bangsat... #IndonesiaGelap https://t.co/ubuhjXEa23,negatif
31,#JasMerahJasHijau1 faktanya yg Jd pasangan capres-cawapres #AniesMuhaimin #PrabowoGibran #GanjarMahfud next #pilpres2029 siapa figur2 yg disiapkan bangsa ini ? Melaju #IndonesiaEmas atau malah #IndonesiaGelap #KaburAjaDulu #malming #profesionallayaniindonesia #,netral
32,@fktmb Astaghfirullah... Waspada Penjajahan Indochina #jokowiaguanmafiatanah #IndonesiaGelap https://t.co/A32ZXtGjSK,negatif
33,Pegel jg gue liat negara ini anjiiing ada aja gebrakan tololnya hadeh #AdiliJokowi #IndonesiaGelap,negatif
34,https://t.co/VodCzppJmx ALFABET88 Hanya Disini Ada WD Terbesar Ambil Sekarang Jangan Sampai Ketingglan. #SLOTPGAUTO #bulansutenaviral #bulansutena #IndonesiaGelap #slotgacor #SLOTPG #SLOTPGAUTO #PGSOFTWALLET https://t.co/8kVVMHvUlx,netral
35,https://t.co/VodCzppJmx ALFABET88 Penyedia Permainan Mahjong Terbesar Dan Terpercaya Di Indonesia Dan Paling MUdah Sacatter #SLOTPGAUTO #bulansutenaviral #bulansutena #IndonesiaGelap #slotgacor #SLOTPG #SLOTPGAUTO #PGSOFTWALLET https://t.co/CiXsngPKAi,netral
36,https://t.co/N2MY7dY5Ob ALFABET88 Adalah Penyedia Pragmatic Play Gacor Dengan Jaminan Jackpot 100% #SLOTPGAUTO #bulansutenaviral #bulansutena #IndonesiaGelap #slotgacor #SLOTPG #SLOTPGAUTO #PGSOFTWALLET https://t.co/eiRVEgRBTP,netral
37,https://t.co/N2MY7dY5Ob ALFABET88 Agen PG SOFT Paling Gacor Di Indonesia Coba Sekarang Juga Jangan Sampai Ketinggalan #SLOTPGAUTO #bulansutenaviral #bulansutena #IndonesiaGelap #slotgacor #SLOTPG #SLOTPGAUTO #PGSOFTWALLET https://t.co/2EgdulVCMU,netral
